0:6:46,61.5,56,88,4.4,18,-5.5,-1549.5,0.0,-7301.8
0:6:51,61.5,56,88,4.4,18,-5.5,-1576.75,-0.5,-7430.7
0:6:56,61.25,56,88,4.4,18,-5.25,-1604.0,0.25,-7515.1
0:7:1,61.5,56,88,4.4,18,-5.5,-1631.25,0.0,-7661.5
0:7:6,61.25,56,88,4.4,18,-5.25,-1657.0,0.25,-7748.3
0:7:11,61.25,56,88,4.4,18,-5.25,-1683.0,-0.25,-7871.7
0:7:16,61.5,56,88,4.4,18,-5.5,-1709.5,-0.75,-8019.3
0:7:21,61.5,56,88,4.4,18,-5.5,-1735.25,-0.5,-8128.1
0:7:26,61.0,56,88,4.4,18,-5.0,-1761.75,0.25,-8187.201
0:7:31,60.75,56,88,4.4,18,-4.75,-1786.75,0.0,-8279.7
0:7:36,61.0,56,88,4.4,18,-5.0,-1811.25,0.25,-8405.0
0:7:41,60.75,56,88,4.4,18,-4.75,-1835.25,0.0,-8493.099
0:7:46,60.5,56,88,4.4,18,-4.5,-1859.0,0.25,-8571.099
0:7:51,60.75,56,88,4.4,18,-4.75,-1881.5,-0.25,-8701.1
0:7:56,61.0,56,88,4.4,18,-5.0,-1904.25,-0.75,-8832.2
0:8:1,60.5,56,88,4.4,18,-4.5,-1927.25,0.0,-8875.9
0:8:6,60.5,56,88,4.4,18,-4.5,-1949.0,-0.25,-8976.1
0:8:11,61.0,56,88,4.4,18,-5.0,-1970.5,-0.75,-9123.7
0:8:16,60.0,56,88,4.4,18,-4.0,-1992.25,0.0,-9117.9
0:8:21,60.25,56,88,4.4,18,-4.25,-2014.0,0.0,-9235.6
0:8:26,60.25,56,88,4.4,18,-4.25,-2034.5,0.0,-9325.8
0:8:31,60.0,56,88,4.4,18,-4.0,-2054.75,0.0,-9392.9
0:8:36,60.5,56,88,4.4,18,-4.5,-2076.25,0.0,-9531.5
0:8:41,60.25,56,88,4.4,18,-4.25,-2097.5,0.0,-9603.0
0:8:46,59.5,56,88,4.4,18,-3.5,-2117.0,0.25,-9618.3
0:8:51,59.5,56,88,4.4,18,-3.5,-2135.75,0.25,-9700.8
0:8:56,60.0,56,88,4.4,18,-4.0,-2154.25,-0.75,-9844.2
0:9:1,60.0,56,88,4.4,18,-4.0,-2173.75,0.0,-9916.5
0:9:6,60.0,56,88,4.4,18,-4.0,-2192.0,-0.5,-10005.8
0:9:11,59.5,56,88,4.4,18,-3.5,-2210.0,0.25,-10027.5
0:9:16,59.25,56,88,4.4,18,-3.25,-2227.75,0.75,-10074.6
0:9:21,59.25,56,88,4.4,18,-3.25,-2245.5,0.75,-10152.7
0:9:26,59.5,56,88,4.4,18,-3.5,-2264.0,0.5,-10260.6
0:9:31,59.75,56,88,4.4,18,-3.75,-2282.0,-0.5,-10379.8
0:9:36,60.0,56,88,4.4,18,-4.0,-2300.25,-0.25,-10477.6
0:9:41,59.25,56,88,4.4,18,-3.25,-2317.25,0.25,-10477.4
0:9:46,59.75,56,88,4.4,18,-3.75,-2333.75,-0.25,-10603.0
0:9:51,59.5,56,88,4.4,18,-3.5,-2350.75,-0.5,-10660.3
0:9:56,59.5,56,88,4.4,18,-3.5,-2366.5,-0.5,-10729.6
0:10:1,59.5,56,88,4.4,18,-3.5,-2384.0,0.0,-10797.6
0:10:6,58.75,56,88,4.4,18,-2.75,-2399.5,0.5,-10790.8
0:10:11,59.0,56,88,4.4,18,-3.0,-2414.5,0.25,-10883.3
0:10:16,59.25,56,88,4.4,18,-3.25,-2430.25,-0.25,-10983.6
0:10:21,58.25,56,88,4.4,18,-2.25,-2444.75,0.5,-10945.9
0:10:26,59.0,56,88,4.4,18,-3.0,-2459.5,0.0,-11085.8
0:10:31,59.0,56,88,4.4,18,-3.0,-2474.5,-0.25,-11156.3
0:10:36,59.25,56,88,4.4,18,-3.25,-2488.5,-0.5,-11244.4
0:10:41,58.5,56,88,4.4,18,-2.5,-2503.0,0.5,-11224.2
0:10:46,59.0,56,88,4.4,18,-3.0,-2517.75,-0.25,-11346.6
0:10:51,58.75,56,88,4.4,18,-2.75,-2531.75,0.0,-11381.7
0:10:56,58.25,56,88,4.4,18,-2.25,-2545.0,0.5,-11387.0
0:11:1,58.25,56,88,4.4,18,-2.25,-2558.0,0.5,-11444.2
0:11:6,59.0,56,88,4.4,18,-3.0,-2571.75,-0.25,-11584.2
0:11:11,58.25,56,88,4.4,18,-2.25,-2584.0,0.0,-11567.6
0:11:16,58.0,56,88,4.4,18,-2.0,-2596.25,0.5,-11590.5
0:11:21,58.25,56,88,4.4,18,-2.25,-2608.25,0.25,-11669.8
0:11:26,58.25,56,88,4.4,18,-2.25,-2620.25,0.5,-11718.1
0:11:31,58.5,56,88,4.4,18,-2.5,-2632.25,0.0,-11801.9
0:11:36,58.5,56,88,4.4,18,-2.5,-2644.75,0.0,-11856.9
0:11:41,58.5,56,88,4.4,18,-2.5,-2656.75,0.0,-11909.7
0:11:46,58.25,56,88,4.4,18,-2.25,-2667.5,-0.25,-11939.5
0:11:51,58.25,56,88,4.4,18,-2.25,-2678.25,-0.5,-11991.3
0:11:56,58.25,56,88,4.4,18,-2.25,-2688.75,-0.25,-12033.0
0:12:1,58.25,56,88,4.4,18,-2.25,-2699.75,0.0,-12076.9
0:12:6,58.25,56,88,4.4,18,-2.25,-2710.0,-0.25,-12126.5
0:12:11,58.0,56,88,4.4,18,-2.0,-2720.0,-0.25,-12148.5
0:12:16,58.25,56,88,4.4,18,-2.25,-2731.5,0.25,-12212.1
0:12:21,57.75,56,88,4.4,18,-1.75,-2741.0,0.25,-12209.9
0:12:26,58.0,56,88,4.4,18,-2.0,-2750.25,-0.75,-12290.6
0:12:31,57.75,56,88,4.4,18,-1.75,-2759.25,0.0,-12294.7
0:12:36,58.0,56,88,4.4,18,-2.0,-2768.5,-0.25,-12361.9
0:12:41,57.5,56,88,4.4,18,-1.5,-2777.5,0.25,-12348.5
0:12:46,57.5,56,88,4.4,18,-1.5,-2786.0,0.25,-12385.9
0:12:51,57.75,56,88,4.4,18,-1.75,-2794.75,0.25,-12446.4
0:12:56,57.75,56,88,4.4,18,-1.75,-2802.75,0.0,-12486.1
0:13:1,57.0,56,88,4.4,18,-1.0,-2809.5,0.25,-12445.3
0:13:6,57.75,56,88,4.4,18,-1.75,-2818.0,0.0,-12553.2
0:13:11,57.0,56,88,4.4,18,-1.0,-2824.25,0.5,-12505.7
0:13:16,57.5,56,88,4.4,18,-1.5,-2830.75,-0.25,-12591.8
0:13:21,57.5,56,88,4.4,18,-1.5,-2838.25,0.0,-12620.3
0:13:26,57.0,56,88,4.4,18,-1.0,-2843.5,0.25,-12594.9
0:13:31,57.25,56,88,4.4,18,-1.25,-2850.5,0.25,-12647.7
0:13:36,57.5,56,88,4.4,18,-1.5,-2857.5,0.0,-12705.0
0:13:41,57.0,56,88,4.4,18,-1.0,-2863.25,0.0,-12686.3
0:13:46,57.25,56,88,4.4,18,-1.25,-2869.25,-0.25,-12739.2
0:13:51,57.25,56,88,4.4,18,-1.25,-2875.75,0.0,-12763.3
0:13:56,57.25,56,88,4.4,18,-1.25,-2881.25,0.0,-12787.5
0:14:1,57.0,56,88,4.4,18,-1.0,-2886.25,0.0,-12787.5
